Year,State,Number of CoCs,Overall Homeless
2016,WY,1,857
2015,AK,2,"1,956"
2015,AL,8,"3,970"
2015,AR,7,"2,560"
2015,AS,0, 
2015,AZ,3,"9,896"
2015,CA,43,"115,738"
2015,CO,3,"9,953"
2015,CT,3,"4,047"
2015,DC,1,"7,298"
2015,DE,1,953
2015,FL,27,"35,900"
2015,GA,9,"13,790"
2015,GU,1,"1,280"
2015,HI,2,"7,620"
2015,IA,3,"3,081"
2015,ID,2,"1,966"
2015,IL,20,"13,177"
2015,IN,3,"5,863"
2015,KS,5,"2,588"
2015,KY,3,"4,538"
2015,LA,9,"4,081"
2015,MA,16,"21,135"
2015,MD,16,"8,390"
2015,ME,2,"2,372"
2015,MI,21,"10,516"
2015,MN,10,"7,546"
2015,MO,8,"6,482"
2015,MP,0, 
2015,MS,3,"1,983"
2015,MT,1,"1,709"
2015,NC,12,"10,685"
2015,ND,1,"1,305"
2015,NE,3,"2,744"
2015,NH,3,"1,445"
2015,NJ,16,"10,098"
2015,NM,2,"2,629"
2015,NV,3,"8,743"
2015,NY,27,"88,250"
2015,OH,9,"11,182"
2015,OK,8,"3,777"
2015,OR,7,"13,226"
2015,PA,16,"15,421"
2015,PR,2,"4,518"
2015,RI,1,"1,111"
2015,SC,4,"5,354"
2015,SD,1,"1,036"
2015,TN,10,"9,123"
2015,TX,11,"23,678"
2015,UT,3,"3,025"
2015,VA,16,"7,001"
2015,VI,1,337
2015,VT,2,"1,523"
2015,WA,7,"19,419"
2015,WI,4,"6,057"
2015,WV,4,"1,835"
2015,WY,1,798
2014,AK,2,"1,784"
2014,AL,8,"4,561"
2014,AR,6,"2,936"
2014,AS,0, 
2014,AZ,3,"10,495"
2014,CA,40,"113,952"
2014,CO,3,"10,028"
2014,CT,6,"4,450"
2014,DC,1,"7,748"
2014,DE,1,901
2014,FL,28,"41,542"
2014,GA,9,"16,521"
2014,GU,1,"1,356"
2014,HI,2,"6,918"
2014,IA,3,"3,122"
2014,ID,2,"2,104"
2014,IL,20,"13,107"
2014,IN,3,"5,971"
2014,KS,5,"2,783"
2014,KY,3,"5,089"
2014,LA,9,"4,606"
2014,MA,18,"21,237"
2014,MD,16,"7,856"
2014,ME,2,"2,726"
2014,MI,21,"12,227"
2014,MN,10,"8,377"
2014,MO,8,"7,282"
2014,MP,0, 
2014,MS,3,"2,226"
2014,MT,1,"1,745"
2014,NC,12,"11,491"
2014,ND,1,"1,258"
2014,NE,3,"3,026"
2014,NH,3,"1,376"
2014,NJ,17,"11,671"
2014,NM,2,"2,746"
2014,NV,3,"8,582"
2014,NY,29,"80,590"
2014,OH,9,"11,823"
2014,OK,8,"4,191"
2014,OR,7,"12,164"
2014,PA,18,"15,333"
2014,PR,2,"4,132"
2014,RI,1,"1,190"
2014,SC,4,"5,057"
2014,SD,1,885
2014,TN,10,"9,415"
2014,TX,12,"28,495"
2014,UT,3,"3,081"
2014,VA,16,"7,020"
2014,VI,1,448
2014,VT,2,"1,559"
2014,WA,7,"18,442"
2014,WI,4,"6,055"
2014,WV,4,"2,013"
2014,WY,1,757
2013,AK,2,"1,946"
2013,AL,8,"4,689"
2013,AR,6,"3,812"
2013,AS,0, 
2013,AZ,3,"10,562"
2013,CA,40,"118,552"
2013,CO,3,"9,754"
2013,CT,6,"4,448"
2013,DC,1,"6,865"
2013,DE,1,946
2013,FL,28,"47,862"
2013,GA,9,"16,971"
2013,GU,1,"1,271"
2013,HI,2,"6,335"
2013,IA,3,"3,084"
2013,ID,2,"1,781"
2013,IL,20,"13,425"
2013,IN,3,"6,096"
2013,KS,5,"2,693"
2013,KY,3,"5,245"
2013,LA,9,"5,226"
2013,MA,18,"19,029"
2013,MD,16,"8,205"
2013,ME,2,"3,016"
2013,MI,21,"11,527"
2013,MN,10,"8,214"
2013,MO,8,"8,581"
2013,MP,0, 
2013,MS,3,"2,403"
2013,MT,1,"1,878"
2013,NC,12,"12,168"
2013,ND,1,"2,069"
2013,NE,3,"3,145"
2013,NH,3,"1,447"
