Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2015,NE,"2,744",635,292,"1,817","1,012","1,722",10,0,"2,347",397,"1,831",586,25,119,16,167,247,9,237,1,,236,11,182,55,3,5,0,2
2015,NH,"1,445",382,142,921,616,826,3,0,"1,325",120,"1,312",64,6,2,1,60,138,9,129,0,,134,4,125,7,0,1,0,5
2015,NJ,"10,098","2,404","1,074","6,620","4,156","5,930",12,0,"8,279","1,819","4,336","5,562",97,23,34,46,696,49,647,0,,632,64,314,377,4,1,0,0
2015,NM,"2,629",701,205,"1,723","1,086","1,537",6,0,"1,517","1,112","1,728",213,12,587,17,72,278,16,262,0,,208,70,212,23,1,30,1,11
2015,NV,"8,743","1,395","1,573","5,775","2,837","5,901",5,0,"7,329","1,414","4,605","3,213",235,187,73,430,860,101,757,2,,777,83,526,254,17,17,8,38
2015,NY,"88,250","31,005","8,944","48,301","41,697","46,412",141,0,"60,227","28,023","21,705","60,103",879,822,"1,368","3,373","2,399",214,"2,182",3,,"1,901",498,857,"1,468",12,24,7,31
2015,OH,"11,182","2,241","1,082","7,859","4,349","6,817",16,0,"10,799",383,"5,532","5,084",35,59,18,454,"1,183",50,"1,132",1,,"1,163",20,633,520,1,4,2,23
2015,OK,"3,777",691,467,"2,619","1,535","2,237",5,0,"3,528",249,"2,458",732,7,411,11,158,351,26,325,0,,338,13,237,63,1,28,4,18
2015,OR,"13,226","2,545","1,228","9,453","5,197","7,977",52,0,"11,681","1,545","10,704",847,133,599,164,779,"1,464",153,"1,306",5,,"1,410",54,"1,226",102,8,54,16,58
2015,PA,"15,421","4,312","1,592","9,517","6,844","8,553",24,0,"13,301","2,120","6,486","8,202",77,77,32,547,"1,375",174,"1,200",1,,"1,306",69,709,606,8,6,1,45
2015,PR,"4,518",363,248,"3,907","1,237","3,266",15,0,151,"4,367","1,894",717,1,50,17,"1,839",164,33,131,0,,9,155,87,20,0,3,1,53
2015,RI,"1,111",252,89,770,418,691,2,0,831,280,765,287,4,7,2,46,107,4,103,0,,105,2,81,23,0,1,0,2
2015,SC,"5,354",782,301,"4,271","1,970","3,384",0,0,"5,216",138,"2,253","2,926",11,43,19,102,681,75,606,0,,655,26,247,415,0,2,0,17
2015,SD,"1,036",266,139,631,373,662,1,0,"1,020",16,403,87,3,524,3,16,177,10,167,0,,177,0,113,17,0,44,2,1
2015,TN,"9,123","1,625",836,"6,662","3,636","5,467",20,0,"8,931",192,"5,370","3,488",22,66,24,153,945,60,885,0,,935,10,517,409,2,3,1,13
2015,TX,"23,678","4,529","1,712","17,437","9,038","14,575",65,0,"16,750","6,928","13,713","8,603",145,424,104,689,"2,393",449,"1,941",3,,"2,005",388,"1,345",899,14,58,8,69
2015,UT,"3,025",764,199,"2,062","1,176","1,842",7,0,"2,365",660,"2,359",311,35,128,74,118,337,17,320,0,,303,34,292,26,4,9,2,4
2015,VA,"7,001","1,769",576,"4,656","2,803","4,191",7,0,"6,517",484,"2,703","3,761",110,62,17,348,604,83,521,0,,575,29,234,346,0,7,1,16
2015,VI,337,19,14,304,82,255,0,0,308,29,42,260,2,8,0,25,34,1,33,0,,32,2,6,26,0,1,0,1
2015,VT,"1,523",356,180,987,668,853,2,0,"1,476",47,"1,363",134,3,5,3,15,119,5,114,0,,115,4,107,10,0,2,0,0
2015,WA,"19,419","4,162","1,881","13,376","7,457","11,896",66,0,"16,681","2,738","11,860","4,095",369,871,491,"1,733","1,293",91,"1,197",5,,"1,210",83,893,260,18,51,8,63
2015,WI,"6,057","1,987",550,"3,520","2,748","3,304",5,0,"5,544",513,"3,276","2,153",55,224,44,305,534,36,498,0,,520,14,369,142,0,9,0,14
2015,WV,"1,835",268,171,"1,396",626,"1,208",1,0,"1,796",39,"1,495",289,1,9,3,38,305,28,276,1,,298,7,229,68,0,1,0,7
2015,WY,798,187,59,552,295,503,0,0,669,129,628,30,0,97,1,42,112,4,108,0,,103,9,91,3,0,12,1,5
2016,AK,"1,940",274,173,"1,493",808,"1,127",5,,"1,797",143,739,147,44,786,53,171,168,12,156,0,,165,3,77,20,0,61,0,10
2016,AL,"4,111",681,304,"3,126","1,733","2,366",12,,"4,027",84,"1,714","2,251",4,49,8,85,373,18,355,0,,371,2,177,187,0,3,1,5
2016,AR,"2,463",432,197,"1,834","1,047","1,415",1,,"2,377",86,"1,451",894,10,21,8,79,222,19,202,1,,218,4,126,87,0,5,3,1
2016,AS, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2016,AZ,"9,707","2,022",733,"6,952","3,685","6,005",17,,"7,342","2,365","6,562","1,792",53,809,67,424,"1,036",81,950,5,,909,127,773,158,4,64,3,34
2016,CA,"118,142","12,828","12,160","93,154","39,175","78,121",846,,"85,437","32,705","67,669","32,434","1,836","4,179","1,284","10,740","9,612",807,"8,673",132,,"7,971","1,641","5,727","2,572",103,347,78,785
2016,CO,"10,550","2,327",983,"7,240","4,103","6,393",54,,"7,603","2,947","7,239","1,882",78,527,61,763,"1,181",124,"1,056",1,,"1,021",160,869,217,4,45,6,40
2016,CT,"3,902",831,203,"2,868","1,458","2,440",4,,"2,796","1,106","2,095","1,535",32,54,73,113,216,16,199,1,,184,32,115,93,1,3,2,2
2016,DC,"8,350","2,732",920,"4,698","3,802","4,512",36,,"7,916",434,439,"7,689",35,38,16,133,350,50,300,0,,343,7,48,294,2,5,1,0
2016,DE,"1,070",196,69,805,411,658,1,,"1,011",59,406,617,1,1,3,42,107,5,102,0,,105,2,38,65,0,0,2,2
2016,FL,"33,559","6,140","2,238","25,181","11,789","21,740",30,,"28,855","4,704","19,369","12,594",116,294,73,"1,113","2,902",207,"2,686",9,,"2,705",197,"1,845",950,3,31,5,68
2016,GA,"12,909","2,237",907,"9,765","4,507","8,376",26,,"12,266",643,"3,822","8,571",54,64,51,347,"1,055",121,934,0,,"1,030",25,358,655,1,5,0,36
2016,GU,"1,085",470,103,512,529,555,1,,"1,061",24,11,4,17,0,"1,033",20,21,0,21,0,,18,3,3,3,0,0,15,0
2016,HI,"7,921","1,941",531,"5,449","3,243","4,641",37,,"6,989",932,"1,820",269,396,114,"3,374","1,948",670,55,613,2,,602,68,271,62,43,16,137,141
2016,IA,"3,064","1,013",285,"1,766","1,403","1,659",2,,"2,766",298,"1,869",898,18,73,5,201,170,14,156,0,,164,6,125,34,2,5,1,3
2016,ID,"2,247",578,195,"1,474",966,"1,278",3,,"1,976",271,"1,928",76,9,133,23,78,267,16,250,1,,255,12,239,9,0,13,2,4
2016,IL,"11,590","2,892","1,130","7,568","4,746","6,813",31,,"10,341","1,249","4,214","6,858",123,54,18,323,949,67,882,0,,898,51,350,581,0,7,1,10
2016,IN,"5,798","1,319",448,"4,031","2,414","3,375",9,,"5,577",221,"3,587","1,911",24,41,17,218,663,44,619,0,,648,15,415,226,5,4,3,10
2016,KS,"2,255",639,115,"1,501",992,"1,262",1,,"2,019",236,"1,505",513,18,65,2,152,169,32,137,0,,151,18,110,49,1,5,1,3
2016,KY,"4,237",787,330,"3,120","1,575","2,656",6,,"4,068",169,"2,895","1,103",3,30,18,188,512,35,477,0,,501,11,346,159,0,1,0,6
2016,LA,"3,994",608,405,"2,981","1,337","2,648",9,,"3,813",181,"1,482","2,319",12,30,10,141,400,18,381,1,,392,8,173,209,0,1,1,16
2016,MA,"19,608","7,764","1,492","10,352","9,446","10,145",17,,"12,660","6,948","11,029","6,154",129,80,83,"2,133",949,67,877,5,,871,78,733,141,1,7,6,61
2016,MD,"7,689","1,705",463,"5,521","2,922","4,760",7,,"6,970",719,"2,688","4,620",34,55,19,273,555,28,526,1,,540,15,202,341,0,2,1,9
2016,ME,"2,241",580,201,"1,460","1,007","1,231",3,,"2,171",70,"1,872",237,9,42,5,76,146,12,133,1,,145,1,129,9,1,1,0,6
2016,MI,"9,316","2,381",956,"5,979","3,854","5,446",16,,"8,792",524,"4,112","4,637",31,89,33,414,822,44,778,0,,803,19,365,426,0,5,2,24
2016,MN,"7,341","2,563",934,"3,844","3,481","3,841",19,,"6,663",678,"2,780","3,306",82,709,72,392,279,17,261,1,,270,9,162,90,4,15,3,5
2016,MO,"6,194","1,676",614,"3,904","2,864","3,324",6,,"5,932",262,"3,457","2,312",23,108,18,276,575,46,529,0,,560,15,315,241,1,10,1,7
2016,MP, , , , , , , ,, , , , , , , , , , , , ,, , , , , , , , 
2016,MS,"1,738",266,114,"1,358",712,"1,014",12,,"1,718",20,647,"1,054",7,22,3,5,144,11,133,0,,139,5,70,70,0,3,1,0
2016,MT,"1,418",350,123,945,599,818,1,,"1,306",112,877,25,1,366,6,143,165,16,149,0,,158,7,127,2,0,23,0,13
2016,NC,"9,559","1,994",650,"6,915","3,774","5,773",12,,"9,127",432,"3,974","5,072",31,145,15,322,888,78,808,2,,879,9,430,416,2,14,2,24
2016,ND,923,154,86,683,331,590,2,,844,79,510,129,5,218,1,60,116,8,108,0,,115,1,71,7,1,37,0,0
2016,NE,"2,754",590,258,"1,906",980,"1,771",3,,"2,392",362,"1,858",570,11,67,6,242,219,4,215,0,,212,7,162,43,1,3,0,10
2016,NH,"1,366",321,139,906,601,762,3,,"1,247",119,"1,183",94,2,3,2,82,123,6,117,0,,120,3,114,7,0,0,0,2
