Year,State,State name,Overall Homeless,Population,Percent of Population
2014,NJ,New Jersey,11671,8864525,0.0013
2014,NM,New Mexico,2746,2089568,0.0013
2014,NV,Nevada,8582,2817628,0.003
2014,NY,New York,80590,19651049,0.0041
2014,OH,Ohio,11823,11602700,0.001
2014,OK,Oklahoma,4191,3878187,0.0011
2014,OR,Oregon,12164,3963244,0.0031
2014,PA,Pennsylvania,15333,12788313,0.0012
2014,RI,Rhode Island,1190,1055936,0.0011
2014,SC,South Carolina,5057,4823617,0.001
2014,SD,South Dakota,885,849129,0.001
2014,TN,Tennessee,9415,6541223,0.0014
2014,TX,Texas,28495,26964333,0.0011
2014,UT,Utah,3081,2936879,0.001
2014,VA,Virginia,7020,8310993,0.0008
2014,VT,Vermont,1559,625214,0.0025
2014,WA,Washington,18442,7054655,0.0026
2014,WI,Wisconsin,6055,5751525,0.0011
2014,WV,West Virginia,2013,1849489,0.0011
2014,WY,Wyoming,757,582531,0.0013
2013,AK,Alaska,1946,737068,0.0026
2013,AL,Alabama,4689,4830081,0.001
2013,AR,Arkansas,3812,2959400,0.0013
2013,AZ,Arizona,10562,6632764,0.0016
2013,CA,California,118552,38260787,0.0031
2013,CO,Colorado,9754,5269035,0.0019
2013,CT,Connecticut,4448,3594841,0.0012
2013,DC,District of Columbia,6865,650581,0.0106
2013,DE,Delaware,946,923576,0.001
2013,FL,Florida,47862,19545621,0.0024
2013,GA,Georgia,16971,9972479,0.0017
2013,HI,Hawaii,6335,1408243,0.0045
2013,IA,Iowa,3084,3092997,0.001
2013,ID,Idaho,1781,1611206,0.0011
2013,IL,Illinois,13425,12895129,0.001
2013,IN,Indiana,6096,6568713,0.0009
2013,KS,Kansas,2693,2893212,0.0009
2013,KY,Kentucky,5245,4404659,0.0012
2013,LA,Louisiana,5226,4624527,0.0011
2013,MA,Massachusetts,19029,6713315,0.0028
2013,MD,Maryland,8205,5923188,0.0014
2013,ME,Maine,3016,1328009,0.0023
2013,MI,Michigan,11527,9913065,0.0012
2013,MN,Minnesota,8214,5413479,0.0015
2013,MO,Missouri,8581,6040715,0.0014
2013,MS,Mississippi,2403,2988711,0.0008
2013,MT,Montana,1878,1013569,0.0019
2013,NC,North Carolina,12168,9843336,0.0012
2013,ND,North Dakota,2069,722036,0.0029
2013,NE,Nebraska,3145,1865279,0.0017
2013,NH,New Hampshire,1447,1326622,0.0011
2013,NJ,New Jersey,12002,8856972,0.0014
2013,NM,New Mexico,2819,2092273,0.0013
2013,NV,Nevada,7039,2775970,0.0025
2013,NY,New York,77430,19624447,0.0039
2013,OH,Ohio,12325,11576684,0.0011
2013,OK,Oklahoma,4408,3853214,0.0011
2013,OR,Oregon,13822,3922468,0.0035
2013,PA,Pennsylvania,15086,12776309,0.0012
2013,RI,Rhode Island,1384,1055081,0.0013
2013,SC,South Carolina,6544,4764080,0.0014
